Work Order ID,Asset ID,Date Opened,Date Closed,Plant Zone,Problem,Priority,Tech Notes,Action Taken,Downtime Minutes,Labor Hours,Technician,Status
WO-2301,PRESS-1,2026-05-18T06:50:00,2026-05-18T08:10:00,Stamping,Hydraulic temperature warning,Medium,Temperature warning appeared again during first production block,Verified cooler fan operation and scheduled oil sampling,25,1.25,Maria Chen,Closed
WO-2302,PRESS-2,2026-05-18T08:45:00,,Stamping,Bearing vibration during press cycle,Critical,Press vibration worsened after restart and sound changed under load,Kept work order open for bearing replacement window,118,4.25,Dev Patel,Open
WO-2303,CNC-1,2026-05-18T11:20:00,2026-05-18T12:00:00,Machining,Coolant flow restriction,Low,Coolant nozzle partially blocked by chips,Cleared nozzle and replaced screen gasket,14,0.75,Alicia Brooks,Closed
WO-2304,CNC-2,2026-05-19T07:35:00,2026-05-19T09:10:00,Machining,Intermittent spindle alarm,Medium,Spindle alarm occurred twice before warmup completed,Replaced spindle sensor cable and documented restart test,33,1.75,Noah Singh,Closed
WO-2305,WELD-1,2026-05-19T10:05:00,2026-05-19T11:55:00,Welding,Torch alignment drift,Medium,Weld bead shifted after fixture changeover,Recalibrated robot frame and tightened fixture stop,41,2.0,Jules Rivera,Closed
WO-2306,COMP-1,2026-05-19T13:20:00,,Utilities,Oil temperature alarm,Critical,Oil temperature alarm returned after two-hour runtime,Opened cooler service request and staged spare filter kit,101,3.5,Maria Chen,Open
WO-2307,CONV-1,2026-05-20T08:25:00,2026-05-20T09:00:00,Assembly,Belt tracking issue,Low,Belt edge moved toward guard rail at transfer,Reset tracking roller and confirmed stable belt path,13,0.5,Dev Patel,Closed
WO-2308,PAINT-1,2026-05-20T10:50:00,2026-05-20T12:30:00,Finishing,Booth filter pressure warning,Medium,Filter pressure warning persisted after booth startup,Replaced secondary filter and cleaned gauge line,30,1.5,Alicia Brooks,Closed
WO-2309,PRESS-2,2026-05-20T14:15:00,,Stamping,Overheating near feed motor,Critical,Feed motor remained hot after lubrication check,Escalated to planned downtime for bearing and lubrication inspection,125,4.5,Noah Singh,Open
WO-2310,COMP-1,2026-05-20T16:45:00,2026-05-20T18:20:00,Utilities,High discharge pressure,High,Pressure spike repeated during second shift startup,Cleaned intake filter and checked regulator response,59,2.25,Jules Rivera,Closed
