Work Order ID,Asset ID,Date Opened,Date Closed,Plant Zone,Problem,Priority,Tech Notes,Action Taken,Downtime Minutes,Labor Hours,Technician,Status
WO-2201,PRESS-1,2026-05-14T07:20:00,2026-05-14T08:35:00,Stamping,Hydraulic temperature warning,Medium,Hydraulic oil temperature warning appeared after extended run,Inspected cooler airflow and cleaned debris from guard,26,1.25,Maria Chen,Closed
WO-2202,PRESS-2,2026-05-14T09:10:00,,Stamping,Bearing vibration during press cycle,Critical,Feed-side bearing vibration increased during high-tonnage job,Opened urgent work order for bearing assembly inspection,105,3.75,Dev Patel,Open
WO-2203,CNC-1,2026-05-14T11:45:00,2026-05-14T12:25:00,Machining,Coolant flow restriction,Low,Coolant stream pulsed during finishing pass,Cleaned inline filter and topped coolant reservoir,15,0.75,Alicia Brooks,Closed
WO-2204,CNC-2,2026-05-15T06:55:00,2026-05-15T08:20:00,Machining,Intermittent spindle alarm,Medium,Spindle alarm returned during warm restart,Re-seated spindle encoder connector and verified restart,29,1.5,Noah Singh,Closed
WO-2205,WELD-1,2026-05-15T09:35:00,2026-05-15T11:30:00,Welding,Torch alignment drift,Medium,Torch path drifted on left-side fixture repeat,Checked fixture locating surfaces and recalibrated touch point,39,2.0,Jules Rivera,Closed
WO-2206,COMP-1,2026-05-15T13:15:00,,Utilities,Oil temperature alarm,Critical,Oil temperature alarm repeated under plant air demand,Requested planned shutdown for cooler cleaning and oil inspection,94,3.25,Maria Chen,Open
WO-2207,CONV-1,2026-05-16T08:05:00,2026-05-16T08:45:00,Assembly,Belt tracking issue,Low,Belt drifted at merge conveyor during startup,Adjusted snub roller and verified tracking mark,12,0.5,Dev Patel,Closed
WO-2208,PAINT-1,2026-05-16T10:40:00,2026-05-16T12:05:00,Finishing,Booth filter pressure warning,Medium,Booth pressure warning appeared before lunch run,Changed pre-filter and inspected airflow gauge tubing,27,1.25,Alicia Brooks,Closed
WO-2209,PRESS-2,2026-05-16T14:30:00,,Stamping,Overheating near feed motor,Critical,Feed motor housing hot and operator noticed burning oil smell,Flagged machine for lubrication flow inspection before next shift,110,4.0,Noah Singh,Open
WO-2210,COMP-1,2026-05-16T16:10:00,2026-05-16T18:05:00,Utilities,High discharge pressure,High,Discharge pressure climbed during packaging surge,Adjusted regulator setting and cleaned intake panel,61,2.5,Jules Rivera,Closed
